Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,117.480003,117.480003,116.000000,116.910004,109.903938,64700
2018-08-02,116.879997,117.830002,116.290001,117.650002,110.599586,172600
2018-08-03,117.730003,119.000000,117.559998,118.699997,111.586662,135600
2018-08-06,118.800003,119.500000,118.720001,118.900002,111.774681,97600
2018-08-07,118.830002,118.910004,117.910004,118.720001,111.605469,186400
2018-08-08,118.519997,118.550003,117.779999,118.199997,111.116631,87200
2018-08-09,118.320000,118.860001,117.940002,118.820000,111.699463,68400
2018-08-10,119.029999,119.750000,118.250000,118.269997,111.182426,91700
2018-08-13,118.309998,118.550003,117.860001,118.419998,111.323448,70800
2018-08-14,118.559998,119.120003,118.559998,118.790001,111.671272,88900
2018-08-15,118.980003,120.349998,118.900002,119.599998,112.432732,681100
2018-08-16,119.570000,121.029999,119.290001,120.970001,113.720627,141500
2018-08-17,120.949997,122.050003,120.739998,121.529999,114.247070,165400
2018-08-20,121.769997,121.769997,120.989998,121.180000,113.918045,125400
2018-08-21,121.089996,121.089996,120.120003,120.370003,113.156593,101600
2018-08-22,120.510002,120.510002,119.120003,119.510002,112.348129,85800
2018-08-23,119.510002,120.190002,119.230003,119.379997,112.225906,173200
2018-08-24,119.320000,120.000000,118.910004,119.930000,112.742958,190400
2018-08-27,120.040001,120.040001,118.650002,119.089996,111.953293,339200
2018-08-28,118.970001,119.260002,118.629997,118.820000,111.699463,68000
2018-08-29,119.199997,119.669998,119.019997,119.669998,112.498535,110900
2018-08-30,119.750000,120.330002,119.440002,119.779999,112.601944,88900
2018-08-31,119.970001,120.290001,118.910004,119.260002,112.113106,84500
2018-09-04,119.400002,120.400002,119.400002,119.820000,112.639542,75100
2018-09-05,119.879997,121.400002,119.879997,121.309998,114.040245,78400
2018-09-06,121.430000,122.410004,121.059998,121.980003,114.670105,92700
2018-09-07,121.110001,121.260002,120.379997,120.580002,113.354004,82200
2018-09-10,120.830002,121.620003,120.599998,121.180000,113.918045,175800
2018-09-11,121.160004,121.559998,120.720001,120.940002,113.692429,81800
2018-09-12,120.800003,121.459999,120.620003,120.860001,113.617218,110300
2018-09-13,120.989998,121.830002,120.349998,121.830002,114.529099,58900
2018-09-14,121.459999,121.459999,120.290001,121.260002,113.993256,210100
2018-09-17,121.150002,121.769997,120.989998,121.550003,114.265869,96200
2018-09-18,121.449997,121.540001,120.940002,121.419998,114.143669,83400
2018-09-19,121.419998,121.419998,118.250000,118.760002,111.643066,136800
2018-09-20,118.660004,119.190002,117.750000,119.099998,111.962700,113000
